MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site2,Climate2,National2,SS,IP,BD,BigaRosa,Brichambaut,Schulze,Haurwitz,HaurwitzM,BDM,KC,KCM,ABCG,ABCGM,RS,DPP,YangWalsh,Sharma,ElMghouchi,HLJ,FuRich,TJ,McClear,Kasten,Kumar,Campbell,Samimi,WMO1,WMO2,BdD,PdBV,Site1,Climate1,National1,ESRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Bay,7.758,-11.454,8.436,-12.973,-48.35,-54.767,-33.565,-30.926,8.715,-24.676,0.758,3.908,-119.358,8.194,-95.084,1.41,-36.61,60.303,-70.488,-24.392,-55.152,-76.695,-201.533,-9.495,21.098,-31.241,8.759,-40.559,-53.361,-23.744,-39.405,-99.082,6.856,7.87,20.568,8.698,-37.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upington,-2.567,-41.65,-23.75,-41.334,-45.186,-77.824,-60.456,-59.267,-20.757,-51.191,-28.456,-20.965,-137.856,-19.979,-116.879,-28.908,-61.298,23.813,-99.719,-54.958,-84.26,-65.291,-196.199,-43.427,-0.631,-25.217,-26.244,-73.446,-51.178,-56.539,-55.059,-121.979,-24.916,-2.72,-11.418,-22.54,-56.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Aar,-2.593,-6.195,-27.488,-43.642,-21.039,-79.995,-65.659,-65.072,-25.55,-55.28,-33.037,-24.624,-140.61,-24.107,-121.101,-34.91,-65.247,16.983,-104.776,-60.204,-87.684,-50.211,-183.914,-46.42,4.645,-13.894,-32.008,-79.297,-34.656,-61.481,-52.141,-125.358,-29.369,-2.163,-5.663,-26.719,-53.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethlehem,6.464,12.582,-8.079,-23.41,38.41,-59.958,-39.736,-40.132,1.755,-27.325,-5.674,3.783,-111.004,3.679,-93.778,-10.18,-36.059,41.307,-86.319,-42.416,-69.169,-17.333,-151.334,-33.369,26.99,19.853,-15.556,-61.722,2.175,-43.138,7.444,-96.579,-11.519,6.086,11.924,-8.451,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahikeng,-0.409,-9.375,-5.867,-21.847,12.459,-61.647,-38.634,-37.466,2.827,-28.337,-4.921,1.536,-117.091,3.421,-96.187,-6.473,-38.305,48.228,-83.211,-38.525,-68.349,-28.004,-158.087,-30.244,19.736,11.113,-8.975,-56.232,-11.364,-38.959,-7.885,-100.016,-8.076,-0.114,-8.942,-5.662,-15.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene,-11.382,-1.261,2.254,-13.378,35.827,-54.429,-28.771,-27.941,14.085,-17.205,6.386,12.655,-106.58,14.854,-86.508,3.345,-27.057,59.036,-76.693,-32.09,-61.128,-11.758,-142.589,-24.677,7.547,24.779,-2.334,-49.572,7.513,-31.624,7.956,-89.085,-1.03,-10.897,-1.731,1.551,-1.759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretoria,1.668,9.277,12.902,-3.125,40.874,-46.013,-19.316,-17.938,24.138,-8.144,16.306,21.155,-100.033,24.366,-78.683,13.933,-18.476,71.521,-66.531,-21.478,-51.341,-5.082,-135.463,-13.497,14.163,32.974,9.591,-38.208,13.729,-20.522,16.902,-81.19,9.689,1.67,8.695,12.063,7.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thohoyandou,-4.35,-2.456,17.304,-2.256,-5.162,-45.646,-16.751,-14.447,27.032,-6.615,19.022,21.89,-101.953,26.475,-78.445,18.176,-17.906,78.254,-62.291,-16.581,-48.16,-37.598,-169.026,-8.142,19.624,11.425,16.37,-32.282,-19.948,-15.178,1.459,-81.278,14.605,-4.205,-2.465,16.605,-6.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelspruit,-0.705,-2.271,15.851,-3.435,8.244,-39.615,-14.225,-13.616,28.923,-2.238,21.21,27.714,-91.2,29.748,-71.618,17.606,-11.5,72.998,-63.147,-18.724,-47.985,-25.929,-164.718,-12.412,23.2,20.823,10.705,-36.26,-11.973,-18.216,8.403,-73.927,12.229,-0.965,-2.424,14.908,-2.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durban,2.529,17.999,36.317,13.108,8.042,-25.454,-1.248,0.437,43.164,10.047,35.218,38.897,-83.976,42.98,-61.917,32.848,-0.868,92.764,-44.64,1.236,-28.636,-53.186,-184.954,12.72,22.729,13.173,33.618,-14.822,-30.013,2.898,26.171,-63.971,32.793,2.357,17.493,35.052,21.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
