DHI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,MBE,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site,Climate,National,McClear,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Bulger,Sharma,ElMghouchi,HLJ,FuRich,TJ,Kumar,Campbell,Samimi,Kasten,Dumortier,Modtran,ESRA,,,Station/Model,Site,Climate,National,McClear,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Bulger,Sharma,ElMghouchi,HLJ,FuRich,TJ,Kumar,Campbell,Samimi,Kasten,Dumortier,Modtran,ESRA
Alexandra Bay,-0.48,-8.18,7.16,13.02,26.92,51.02,21.83,25.49,-3.51,75.54,7.14,12.95,-40.9,14.02,67.86,-1.25,-21.63,31.68,-21.25,71.5,46.48,68.02,54.55,,,Alexandra Bay,0.48,8.18,7.16,13.02,26.92,51.02,21.83,25.49,3.51,75.54,7.14,12.95,40.9,14.02,67.86,1.25,21.63,31.68,21.25,71.5,46.48,68.02,54.55
Upington,0.63,5.79,19.48,13.64,36.82,51.39,33.53,38.36,9.85,80.48,20.12,25.77,-26.1,10.09,79.59,15.18,-6.28,43.95,-6.54,88.69,46.24,62.56,54.24,,,Upington,0.63,5.79,19.48,13.64,36.82,51.39,33.53,38.36,9.85,80.48,20.12,25.77,26.1,10.09,79.59,15.18,6.28,43.95,6.54,88.69,46.24,62.56,54.24
De Aar,-2.33,-2.33,20.09,2.63,36.65,52.36,34.08,39.1,10.53,79.46,20.76,26.22,-25.38,3.02,83.91,15.2,-4.74,45.39,-4.34,84.7,39.89,53.74,48.09,,,De Aar,2.33,2.33,20.09,2.63,36.65,52.36,34.08,39.1,10.53,79.46,20.76,26.22,25.38,3.02,83.91,15.2,4.74,45.39,4.34,84.7,39.89,53.74,48.09
Bethlehem,-17.14,-17.14,-4.74,-16.34,9.96,-0.7,9.25,14.36,-14.28,51.82,-4.28,0.01,-50.39,-28.26,60.57,-1.66,-29.43,19.94,-28.54,4.56,-14.48,-11.68,-6.23,,,Bethlehem,17.14,17.14,4.74,16.34,9.96,0.7,9.25,14.36,14.28,51.82,4.28,0.01,50.39,28.26,60.57,1.66,29.43,19.94,28.54,4.56,14.48,11.68,6.23
Mahikeng,-3.65,4.63,-0.85,-8.04,14.76,16.99,13.44,17.88,-10.87,61.2,-0.6,4.2,-47.5,-19.69,67.82,0.31,-27.87,22.94,-25.34,38.09,4.23,13.23,12.81,,,Mahikeng,3.65,4.63,0.85,8.04,14.76,16.99,13.44,17.88,10.87,61.2,0.6,4.2,47.5,19.69,67.82,0.31,27.87,22.94,25.34,38.09,4.23,13.23,12.81
Irene,1.16,-5.51,-11.04,29.93,3.64,3.9,3.34,7.69,-21.22,50.1,-11.03,-7.01,-58.22,-34.01,59.63,-5.64,-38.18,12.7,-35.16,17.99,-11.23,-4.36,-2.61,,,Irene,1.16,5.51,11.04,29.93,3.64,3.9,3.34,7.69,21.22,50.1,11.03,7.01,58.22,34.01,59.63,5.64,38.18,12.7,35.16,17.99,11.23,4.36,2.61
Pretoria,0.48,-3.83,-9.59,33.33,5.5,5.6,4.92,9.02,-19.97,53.22,-9.7,-5.55,-57.22,-31.2,62.24,-5.21,-37.39,14.11,-33.93,22.09,-8.23,-0.48,0.47,,,Pretoria,0.48,3.83,9.59,33.33,5.5,5.6,4.92,9.02,19.97,53.22,9.7,5.55,57.22,31.2,62.24,5.21,37.39,14.11,33.93,22.09,8.23,0.48,0.47
Thohoyandou,-3.34,-2.05,-21.06,-13.83,-3.74,1.2,-6.25,-2.81,-31.95,47.06,-21.4,-16.77,-69.81,-28.09,46.58,-20.23,-50.91,2.19,-48.06,30.43,-3.32,11.36,5.38,,,Thohoyandou,3.34,2.05,21.06,13.83,3.74,1.2,6.25,2.81,31.95,47.06,21.4,16.77,69.81,28.09,46.58,20.23,50.91,2.19,48.06,30.43,3.32,11.36,5.38
Nelspruit,12.65,11.66,-5.93,1.9,10.34,11.48,8.4,12.85,-16.03,53.82,-5.96,-1.99,-52.96,-17.22,52.75,-0.55,-32.74,17.84,-33.24,40.07,5.75,16.18,14.22,,,Nelspruit,12.65,11.66,5.93,1.9,10.34,11.48,8.4,12.85,16.03,53.82,5.96,1.99,52.96,17.22,52.75,0.55,32.74,17.84,33.24,40.07,5.75,16.18,14.22
Durban,18.98,-0.78,-19.48,7.72,-0.27,-0.18,-4.81,-1.01,-30.12,45.04,-19.78,-15.11,-67.7,-11.54,34.55,-21.08,-47.72,4.79,-49.41,6.76,-9.16,1.89,-0.33,,,Durban,18.98,0.78,19.48,7.72,0.27,0.18,4.81,1.01,30.12,45.04,19.78,15.11,67.7,11.54,34.55,21.08,47.72,4.79,49.41,6.76,9.16,1.89,0.33
