DNI ALL SKY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site2,Climate2,National2,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Meinel,Sharma,ElMghouchi,HLJ,FuRich,TJ,McClear,Ineichen,Site1,Climate1,National1,Laurie,Kasten,Kumar,Campbell,Samimi,ESRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Bay,-31.01,9.33,-33.62,-69.75,-169.62,-103.67,-107.54,8.65,-33.66,-79.38,-78.08,-36.09,-163.68,-446.7,-37.91,-3.39,-101.92,-32.24,8.33,-27.63,-68.86,-174.77,15.21,-145.94,-69.83,-158.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upington,-76.38,-36.75,-7.38,-111.09,-151.93,-141.92,-159.25,-34.58,-78.86,-130.98,-128.85,-84.98,-122.63,-465.42,-99.69,-14.9,-158.12,-9.78,-38.99,-71.76,-64.86,-181.6,-42.42,-211.51,-66.37,-174.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Aar,-2.09,-2.09,-15.42,-115.23,-110.72,-154.87,-169.06,-42.91,-87.45,-140.13,-138.55,-91.21,-84.33,-456.32,-103.34,15.38,-165.96,-3.2,-3.2,-79.04,-39.37,-154.62,-53.11,-222.05,-40.49,-159.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethlehem,74.84,74.84,61.55,-43.7,75.68,-81.6,-93.36,33.49,-8.78,-72.47,-71.06,-27.19,18.12,-362.27,-58.28,77.14,-96.3,63.18,63.18,-12.41,57.52,32.94,13.7,-150.84,56.57,16.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahikeng,14.95,2.61,18.37,-16.47,26.36,-50.47,-61.22,60.52,17.94,-40.34,-38.63,1.87,15.87,-344.57,-24.51,79.91,-64.71,17.66,6.09,15.5,57.82,-12.25,49.72,-113.87,56.72,-14.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene,-3.56,15.54,31.76,-5.65,67.39,-41.73,-47.16,74.05,33.1,-31.08,-29.85,9.85,45.45,-320.87,-25.07,-27.22,-52.8,-3.26,13.84,23.54,82.3,25.08,58.92,-100.42,81.52,14.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretoria,-9.96,2.03,18.47,-18.18,44.94,-55.04,-58.56,60.78,20.3,-41.91,-40.72,-1.59,24.99,-335.95,-32.04,-45.92,-63.07,-10.86,1.2,11.06,62.14,5.58,49.57,-108.53,61.4,-2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thohoyandou,-7.29,-20.88,54.95,14.88,-5.38,-16.71,-17.21,97.26,56.78,0.58,1.78,38.56,-14.76,-332.42,16.82,54.98,-20.18,-4.92,-17.51,49.57,46.18,-25.25,95.73,-60.61,45.39,-16.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelspruit,4.19,16.22,92.92,46.94,54.9,19.44,13.36,135.19,94.57,29.22,30.52,69.61,41.77,-298.4,34.6,94.52,7.38,5.84,16.67,84.19,94.1,27.84,118.92,-40.57,93.19,31.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durban,-8.64,47.99,116.35,71.92,55.36,42.32,42.13,158.69,119.49,64.02,65.13,103.85,-25.76,-303.99,88.53,63.73,43.99,-6.55,49.01,114.28,70.65,52.63,158.49,2.31,69.84,73.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mthatha,12.63,-46.06,18.27,-31.41,35.56,-57.92,-70.14,60.52,18.77,-48.57,-47.4,-0.89,-52.5,-398.75,-34.79,38.31,-71.76,11.42,-45.76,14.45,9.14,15.14,34.84,-130,8.09,19.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George,-7.36,13.9,8.03,-33.34,-73.18,-64.49,-73.74,50.28,7.73,-44.03,-42.73,3.84,-123.58,-419.48,-3.58,46.52,-67.57,-7.05,12.14,14.39,-29.26,-79.64,44.98,-119.97,-30.37,-63.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stellenboch,-7.38,-6.16,-12.45,-42.74,-77.49,-82.62,-85.81,29.83,-12.44,-52.07,-50.81,-6.61,-140.05,-422.55,3.99,-2.23,-74.5,-6.51,-2.9,-0.52,-43.16,-81.3,43.53,-118.15,-53.16,-61.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Point,-18.15,-75.32,-80.47,-130.04,-142.81,-148.44,-170.18,-38.44,-83.82,-141.44,-139.46,-90.41,-240.64,-527.36,-114.76,-68.23,-169.49,-14.54,-77.85,-75.81,-134.5,-145.62,-58.36,-231.24,-136.22,-124.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rMBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,rMBE,,,,,,,,,,,,,,,,,,,,,,,,,,
Station/Model,Site2,Climate2,National2,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Meinel,Sharma,ElMghouchi,HLJ,FuRich,TJ,McClear,Ineichen,Site1,Climate1,National1,Laurie,Kasten,Kumar,Campbell,Samimi,ESRA,,Station/Model,Site2,Climate2,National2,SS,IP,BigaRosa,Brichambaut,Schulze,DPP,Meinel,Sharma,ElMghouchi,HLJ,FuRich,TJ,McClear,Ineichen,Site1,Climate1,National1,Laurie,Kasten,Kumar,Campbell,Samimi,ESRA
